X1,X2,X3,X4,X5,X6,X7
9.332083984,0.91466,-0.575908766,-2.236682691,-4.249049019,0.184736345,-0.121643172
9.20545774,0.71879,-1.804358811,0.195162907,0.282149533,2.734957983,-1.582276102
12.27315395,0.77609,-1.263059483,1.47541263,-2.419665951,0.692477747,-0.808184769
9.309218568,0.61219,-0.78193881,0.901233477,-1.062895197,1.545492042,0.065498795
3.1356784,0.1604,-0.146730871,1.604282635,2.143715948,2.736217687,3.248952621
2.948287552,0.41842,-0.902925925,1.533285708,0.639548336,0.896403034,1.666743248
8.606860634,0.70224,-2.520563536,0.870920636,0.52806024,1.621253757,2.5142048
2.131647742,0.25636,1.832224308,-0.138194283,-0.618752007,1.909806524,-1.656509149
-4.104837398,0.42798,1.982778275,-1.657428266,-1.835343681,-1.744546987,0.456037669
7.444599188,0.79389,-0.956771017,-0.22473374,-2.474606475,-0.784677172,1.9646756
3.60189476,0.36993,0.543049391,0.77287201,-0.723203793,1.269795702,0.31306198
6.013912172,0.54564,-0.68385601,-0.447266556,0.184226335,2.281900109,0.920182642
13.41625788,0.82846,-0.863690881,1.103771673,-3.818516071,0.289976074,-0.671049497
11.6100901,0.86889,-1.444675335,-0.971499379,-1.8386422,2.780999524,-3.193028114
-0.976908729,0.06065,2.917465181,0.427088896,1.287933256,1.888830611,-0.328872237
1.989782852,0.25231,-0.635619943,2.414807833,1.471811773,0.399195043,2.575154037
0.879439298,0.48286,0.673449148,-0.50369933,-1.196702461,0.363364042,0.440002904
4.698823944,0.87947,-2.694623222,-1.137611111,-0.202772314,-0.385946566,1.528053053
4.72317358,0.32146,0.84475281,2.094756764,-1.970148166,-0.478741834,2.630722419
4.557307164,0.87803,-2.208721006,-1.789176146,-0.336106695,0.254144342,0.007128066
5.661435412,0.83622,-2.886125367,-0.306643576,0.578787139,0.340058224,0.927233204
8.413731363,0.17176,2.949211531,0.955960513,-3.024658359,2.727279346,1.0668994
13.35243944,0.82582,-1.096147756,0.15064407,-2.996506208,1.870325493,-0.276290596
-3.007775591,0.0338,2.760430103,0.469763153,2.926949422,2.207955649,0.901443638
1.040736218,0.82944,-0.54735617,-3.013393032,-0.847277295,-0.336871481,-2.101700259
5.568227219,0.96215,-1.671232792,-3.183777016,-3.455908518,-1.143143687,-0.768410057
2.180401197,0.11861,2.831269198,0.46553482,-0.397854982,2.042358867,-1.478957008
9.939111119,0.37894,-0.374257249,1.776681804,0.048535606,4.703902542,-1.64425263
-5.554446441,0.45788,0.337771775,-1.863735572,0.792909458,-0.487938607,0.957069245
10.24449173,0.68047,-0.757551803,-0.260417861,-1.614235889,2.36583622,1.494118184
12.98433998,0.9978,-5.58332201,-1.835371607,-5.190296381,-1.690493963,-0.111764546
-2.012012011,0.29291,0.372160502,-0.019331482,1.616357582,0.872400863,-0.988460487
